supplierShopId,vitrineShopId,recommendationScore
asha-by-adm.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.0611064556
great-jones-goods.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06189960279
livefashionable.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3630524319
saltytubco.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3597573703
the-haircut-box.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3599951203
trueclassictees-com.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3608372441
try-melo-air.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3604937475
metrolineas.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3599230599
anemone-swim.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06052303734
testbig.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3593481234
caramelsshop.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603205701
littlebloomers.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3604134505
istolemyboyfriendsshirt.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06078487375
smallpackages.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3613286745
nori-press.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3624514306
mylola-com.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3599896548
bare-babe-shop.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3613719402
3a13fa-2.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603548022
pearl-street-swim.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3615579284
ajarofpickles.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06065102151
minnesota-glasses.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603695683
wilder-condiments-llc.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3605253799
two-peas-and-their-pod.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3604045819
87fb7e-4.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3604202591
pmdb.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3602870396
cedaf271-7bf0-462c-92ea-f2024203c1dd,clvyn8x1617181b0y9tq8qxwu,0.3598959334
the-foot-zoning-school.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06026663637
vestigebrand.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607513808
barlow-co-woodwork.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3604361966
gifts-that-bloom-3041.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607159436
flux-footwear-llc.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606366786
rdclsuperfoods-com.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603697615
steept-cocktail-co.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3605334507
hellofloraco.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3610983213
am-niccoli.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3600654619
kitschllc.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3621604839
sunday-pickle-co-2908.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611154045
lovevery.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06132250056
laticoleathers.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3614886996
g2gproteinbar.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3595187018
caraway-home.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.0621958886
kryo-gear.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3614932817
maddies-natural-sweetener.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3604203322
theeffortlessbeautyco.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3595899832
heatherhowardphoto.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607909308
amberlynncollection.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3617080148
the-leather-drop.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3602035318
joahlove.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06066857873
shitthatiknit.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606009344
amenitiesshop.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606979879
sundream-coffee.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3612361029
f0e1341a-0a47-4dbb-b17e-99da3d8160f0,clvyn8x1617181b0y9tq8qxwu,0.3598745341
dame-products.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3605910494
fullmhouse.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3595879956
hellobirdiebirdie.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06055371996
piglet-in-bed-us.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607079295
eternaltw.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3600637507
bureau-office.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3604187273
sam-nala.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611758539
amborellaorganics.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607692804
75e41f.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3600853239
chappy-wrap.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3630806584
teton-platters.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3600353116
disco-beauties.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3605203123
e0f54c04-8029-46fa-9328-3b08e4847473,clvyn8x1617181b0y9tq8qxwu,0.359823854
elevatewaxandfacials.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06006139215
spicewallabrand.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611185925
935e891b-e393-496d-8ad9-0f60d45dca20,clvyn8x1617181b0y9tq8qxwu,0.36038074
kibou-bag.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.361607353
townpool.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606467218
173bd5-2.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3601293394
monogrammary.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3615954205
6536ec.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3600943609
chouette-designs.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3610416315
prevelo.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06041138819
6fad05-2.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611519531
mmlf-admin.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06125881815
dearkorra.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3602088598
milton-goose.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06074725494
briar-handmade.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06058592056
madly-wish.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.36067847
spoon-moon.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06033331513
little-and-five.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3598988964
eager-eagle-3747.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603482432
trilastin.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606506338
petit-peony.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3608931696
sarah-flint.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06134512102
hedgequarters.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3612136012
d08112-2.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3613734936
bloody-buddy-cup.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06000134408
popsters-shop.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.360504662
us-currentbody.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3616762789
wdydtl.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3605314735
baker-and-olive.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3608704448
puzzlefolk.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611122017
ecuadane.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3608107357
zwitafoods.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603058553
doraihome.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06173110918
camille-company-us.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606410483
shop-everset.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607696527
cords-club.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3608316928
limeberry-designs.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606343002
maya-parfum.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3616080158
dairypill.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607638433
063371cf-8d93-437d-8a97-4584a9a9343f,clvyn8x1617181b0y9tq8qxwu,0.359536302
sortjoy.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3616739297
pretzels-shop.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611918458
eidyllia.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06070051352
d7f3c9-3.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603933313
minorhistory.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3609503246
igluoutfitters.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.360048195
bridebrite.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611517539
tenzo-tea.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3608974594
kinfield.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607326878
feat-socks.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3617595239
you-ay.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3601507006
get-a-next-day.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3602878843
little-hands-and-nature.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06057642946
malla-880.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607762742
we-are-nus.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3605467098
805f23.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606158547
n-c-sample-sale.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3613879278
shop-mentionables.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3594898391
rey-to-z.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.362168553
little-mama-shirt-shop.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3604026145
sea-marie-designs.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607697354
madeincookware.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.05992575068
082dc6.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3587061958
rickirum.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3610520289
viori-beauty.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3599185208
tucky-belt.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3613963891
little-chompions.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603291562
lillie-eats-and-tells-shop.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3601564887
makeitcutekids.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06002038634
worldspicemerchants.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3599096815
shopluluandroo.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06072827002
laced-lash-store.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3598504015
st-roche.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06111585967
abigail-home.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3608703032
port213.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3612246399
greatfurnituredeal.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603377418
mysozy.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3608812345
lifestacksnutrition.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3606068429
andar-wallets.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3600744146
alltshelf.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3603531323
ba92caec-bdde-44bd-a973-fb28620fd5b5,clvyn8x1617181b0y9tq8qxwu,0.3599164104
modern-picnic-ny.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3599209422
the-jam-stand.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.361110412
mud-wtr.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.360496649
rock-roll-candle-co.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611188705
kendall-conrad.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06048173229
cozys.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3600965761
joanna-buchanan.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06103258291
simplyseaglasshawaii.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06033630441
mixedmade.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3621751946
72ab52-3.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3607034256
trendy-ties.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3594855744
alden-threads.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.3611820823
daise-sun-protective-essentials.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06069212258
3f17d294-3e57-48b0-9e11-df8e664b94cc,clvyn8x1617181b0y9tq8qxwu,0.3599109487
kyte-baby-co.myshopify.com,clvyn8x1617181b0y9tq8qxwu,0.06119205612
